production_day,line_id,station_id,units_processed,ref_brightness_pct,ref_sharpness_score,datamatrix_grade,ref_bias_mm,ref_repeatability_mm,locator_wear_mm,clamp_offset_mm,gripper_pad_wear_mm,tcp_offset_mm,jaw_parallelism_mm
2026-04-03,LINE-B,S4,540,99.7,0.9413,3.84,0.00171,0.0062,0.0215,0.01524,0.04127,0.02053,0.01579
2026-04-03,LINE-B,S5,540,99.95,0.933,3.76,0.00285,0.00639,0.02077,0.01776,0.04349,0.02319,0.01533
2026-04-03,LINE-B,S6,540,100.86,0.9361,3.79,0.00231,0.00613,0.02026,0.0152,0.04165,0.02024,0.01524
2026-04-03,LINE-C,S7,540,100.12,0.9378,3.81,0.00241,0.00605,0.02025,0.01508,0.04,0.02072,0.01528
2026-04-03,LINE-C,S8,540,99.95,0.9484,3.85,0.00215,0.00664,0.02078,0.01679,0.04976,0.02048,0.01657
2026-04-03,LINE-C,S9,540,99.34,0.9378,3.71,0.00202,0.00609,0.02007,0.01538,0.04018,0.02147,0.01731
2026-04-04,LINE-A,S1,720,99.81,0.933,3.81,0.00269,0.00646,0.0206,0.01549,0.04007,0.02105,0.0153
2026-04-04,LINE-A,S2,720,100.65,0.9423,3.85,0.00247,0.00712,0.02114,0.01778,0.04099,0.0203,0.01506
2026-04-04,LINE-A,S3,720,100.39,0.9392,3.84,0.0023,0.00655,0.02051,0.01736,0.04008,0.02117,0.01547
2026-04-04,LINE-B,S4,720,100.76,0.9426,3.78,0.00159,0.00601,0.02085,0.01601,0.04037,0.02116,0.01555
2026-04-04,LINE-B,S5,720,98.85,0.9412,3.8,0.00217,0.00648,0.02144,0.01589,0.04071,0.02464,0.01633
2026-04-04,LINE-B,S6,720,100.42,0.9377,3.82,0.00243,0.00607,0.02016,0.01541,0.04104,0.02015,0.01514
2026-04-04,LINE-C,S7,720,100.19,0.944,3.77,0.00195,0.00644,0.02052,0.01623,0.04024,0.02084,0.01501
2026-04-04,LINE-C,S8,720,100.66,0.9434,3.83,0.00222,0.00724,0.02014,0.01801,0.05454,0.02046,0.0151
2026-04-04,LINE-C,S9,720,99.23,0.9355,3.69,0.00218,0.00616,0.02019,0.01712,0.04277,0.02005,0.01542
2026-04-05,LINE-A,S1,900,100.38,0.9409,3.82,0.00172,0.00605,0.02014,0.01623,0.04047,0.02052,0.01524
2026-04-05,LINE-A,S2,900,99.94,0.9433,3.74,0.00148,0.00755,0.02165,0.01646,0.0409,0.02028,0.01518
2026-04-05,LINE-A,S3,900,100.68,0.9404,3.77,0.00176,0.00644,0.02062,0.01554,0.04096,0.02172,0.01624
2026-04-05,LINE-B,S4,900,100.2,0.9358,3.81,0.00195,0.00655,0.02065,0.01591,0.04064,0.02107,0.01559
2026-04-05,LINE-B,S5,900,100.21,0.9392,3.81,0.00214,0.0064,0.02024,0.01722,0.04128,0.02608,0.016
2026-04-05,LINE-B,S6,900,99.93,0.9414,3.86,0.00283,0.00602,0.02011,0.01661,0.04101,0.02033,0.01502
2026-04-05,LINE-C,S7,900,100.16,0.9367,3.75,0.00117,0.00634,0.02032,0.01544,0.04232,0.02111,0.01587
2026-04-05,LINE-C,S8,900,100.17,0.9384,3.79,0.00207,0.00745,0.02024,0.0166,0.05756,0.02001,0.01734
2026-04-05,LINE-C,S9,900,98.74,0.932,3.63,0.00193,0.00623,0.0203,0.01628,0.0408,0.02109,0.01533
2026-04-06,LINE-A,S1,1080,100.47,0.9327,3.79,0.0012,0.00645,0.02095,0.01634,0.04086,0.0215,0.01767
2026-04-06,LINE-A,S2,1080,99.73,0.9497,3.81,0.00178,0.00763,0.02152,0.01773,0.04012,0.02009,0.01571
2026-04-06,LINE-A,S3,1080,100.45,0.9465,3.77,0.00164,0.0064,0.02013,0.01711,0.04053,0.02146,0.01512
2026-04-06,LINE-B,S4,1080,100.13,0.9463,3.79,0.00162,0.00613,0.02032,0.01735,0.04076,0.02054,0.01603
2026-04-06,LINE-B,S5,1080,98.8,0.9369,3.75,0.00167,0.00607,0.02013,0.01538,0.04019,0.02783,0.01591
2026-04-06,LINE-B,S6,1080,100.33,0.9415,3.82,0.00212,0.00661,0.02006,0.01546,0.0409,0.02103,0.01612
2026-04-06,LINE-C,S7,1080,99.56,0.9397,3.81,0.00202,0.00623,0.02063,0.01611,0.04019,0.02065,0.01549
2026-04-06,LINE-C,S8,1080,100.09,0.9342,3.8,0.0021,0.00799,0.02013,0.01718,0.06205,0.02125,0.01523
2026-04-06,LINE-C,S9,1080,99.05,0.9249,3.6,0.00229,0.0066,0.02082,0.01626,0.04028,0.02161,0.0161
2026-04-07,LINE-A,S1,1260,99.36,0.9383,3.78,0.00233,0.00607,0.02124,0.01577,0.04069,0.02127,0.01556
2026-04-07,LINE-A,S2,1260,99.68,0.9422,3.82,0.00218,0.00807,0.02234,0.0181,0.04028,0.02142,0.0154
2026-04-07,LINE-A,S3,1260,100.12,0.9375,3.84,0.00182,0.00601,0.02019,0.01593,0.04057,0.02053,0.01537
2026-04-07,LINE-B,S4,1260,100.68,0.9358,3.73,0.00264,0.00676,0.02028,0.01791,0.04037,0.02029,0.01517
2026-04-07,LINE-B,S5,1260,99.44,0.9423,3.82,0.0014,0.00621,0.02144,0.01526,0.0404,0.03027,0.01555
2026-04-07,LINE-B,S6,1260,100.08,0.9384,3.86,0.00193,0.0065,0.02077,0.01588,0.04038,0.02087,0.01516
2026-04-07,LINE-C,S7,1260,100.61,0.9387,3.75,0.00199,0.00627,0.02024,0.01512,0.04205,0.02162,0.01543
2026-04-07,LINE-C,S8,1260,99.74,0.9297,3.82,0.00211,0.00758,0.02092,0.01625,0.0664,0.02238,0.01538
2026-04-07,LINE-C,S9,1260,97.64,0.9336,3.57,0.00179,0.00613,0.02034,0.01619,0.0418,0.02046,0.01538
2026-04-08,LINE-A,S1,1440,98.87,0.9367,3.78,0.00107,0.00629,0.02064,0.0153,0.04134,0.02025,0.01593
2026-04-08,LINE-A,S2,1440,99.97,0.9442,3.77,0.00164,0.00814,0.02204,0.0192,0.04002,0.0207,0.01593
2026-04-08,LINE-A,S3,1440,99.22,0.9427,3.79,0.00159,0.00603,0.02079,0.01842,0.0418,0.02092,0.01632
2026-04-08,LINE-B,S4,1440,100.14,0.9431,3.77,0.00155,0.00613,0.02004,0.01582,0.04023,0.02028,0.01514
2026-04-08,LINE-B,S5,1440,100.39,0.9432,3.75,0.0011,0.0063,0.02083,0.01653,0.04223,0.03176,0.01584
2026-04-08,LINE-B,S6,1440,100.26,0.9385,3.77,0.002,0.00609,0.02071,0.01807,0.04214,0.02114,0.01583
2026-04-08,LINE-C,S7,1440,100.43,0.9426,3.81,0.0025,0.00619,0.02052,0.01596,0.04041,0.02178,0.01508
2026-04-08,LINE-C,S8,1440,99.72,0.9349,3.85,0.00269,0.0078,0.02018,0.01703,0.07073,0.0202,0.01598
2026-04-08,LINE-C,S9,1440,97.02,0.9231,3.51,0.00272,0.00627,0.02001,0.01537,0.04005,0.0202,0.01597
2026-04-09,LINE-A,S1,1620,100.26,0.9416,3.75,0.00195,0.0063,0.02074,0.01654,0.04005,0.02085,0.01598
2026-04-09,LINE-A,S2,1620,100.17,0.9415,3.84,0.00244,0.00852,0.02276,0.01865,0.04026,0.0202,0.01552
2026-04-09,LINE-A,S3,1620,100.16,0.9384,3.81,0.00211,0.00634,0.02034,0.01716,0.04139,0.02212,0.01668
2026-04-09,LINE-B,S4,1620,100.01,0.9401,3.8,0.00249,0.0068,0.02028,0.01734,0.04135,0.02038,0.01568
2026-04-09,LINE-B,S5,1620,99.55,0.9387,3.84,0.00273,0.0061,0.02133,0.01505,0.0421,0.03176,0.01512
2026-04-09,LINE-B,S6,1620,101.59,0.9434,3.78,0.00239,0.00611,0.02034,0.01636,0.04004,0.02028,0.01501
2026-04-09,LINE-C,S7,1620,100.17,0.9417,3.74,0.00227,0.00629,0.02101,0.01509,0.0401,0.02069,0.01575
2026-04-09,LINE-C,S8,1620,99.33,0.9384,3.78,0.00198,0.0081,0.02071,0.01609,0.07459,0.02189,0.01676
2026-04-09,LINE-C,S9,1620,96.16,0.9231,3.4,0.00238,0.00633,0.02082,0.01664,0.04035,0.02124,0.01539
2026-04-10,LINE-A,S1,1800,99.72,0.9384,3.8,0.00188,0.00631,0.02047,0.01629,0.04057,0.02154,0.01535
2026-04-10,LINE-A,S2,1800,100.05,0.9394,3.85,0.00175,0.00886,0.02336,0.01898,0.04008,0.02108,0.01568
2026-04-10,LINE-A,S3,1800,100.49,0.9446,3.84,0.00221,0.00641,0.02132,0.01548,0.04104,0.02012,0.01551
2026-04-10,LINE-B,S4,1800,99.92,0.9475,3.79,0.00217,0.00607,0.02005,0.01501,0.04054,0.02117,0.01648
2026-04-10,LINE-B,S5,1800,100.15,0.9424,3.77,0.00196,0.00628,0.02061,0.01532,0.04106,0.0331,0.01608
2026-04-10,LINE-B,S6,1800,99.82,0.9413,3.71,0.00215,0.00709,0.02121,0.01568,0.04057,0.02116,0.01564
2026-04-10,LINE-C,S7,1800,100.69,0.9381,3.87,0.002,0.00612,0.02113,0.0152,0.0412,0.02011,0.01503
2026-04-10,LINE-C,S8,1800,99.32,0.939,3.78,0.00237,0.00862,0.0202,0.01516,0.08015,0.02062,0.0159
2026-04-10,LINE-C,S9,1800,96.49,0.9228,3.44,0.00219,0.00646,0.02016,0.0161,0.04045,0.02063,0.01626
2026-04-11,LINE-A,S1,1980,100.44,0.9459,3.85,0.00253,0.00603,0.02025,0.01615,0.04015,0.02013,0.01574
2026-04-11,LINE-A,S2,1980,99.97,0.9371,3.79,0.00225,0.00942,0.02461,0.01914,0.04045,0.02076,0.01534
2026-04-11,LINE-A,S3,1980,99.17,0.9358,3.77,0.00202,0.00608,0.02024,0.01593,0.04041,0.02032,0.01537
2026-04-11,LINE-B,S4,1980,100.31,0.9316,3.79,0.00113,0.00601,0.02,0.01657,0.04143,0.0202,0.01545
2026-04-11,LINE-B,S5,1980,100.24,0.9379,3.8,0.00239,0.00617,0.02056,0.01602,0.04115,0.03434,0.01563
2026-04-11,LINE-B,S6,1980,99.62,0.9366,3.78,0.00222,0.00629,0.02031,0.01686,0.04024,0.02011,0.0172
2026-04-11,LINE-C,S7,1980,99.31,0.9459,3.8,0.00216,0.00604,0.02031,0.01523,0.04174,0.02046,0.01602
2026-04-11,LINE-C,S8,1980,99.68,0.9398,3.77,0.00218,0.00861,0.02005,0.0153,0.08432,0.02023,0.01643
2026-04-11,LINE-C,S9,1980,95.5,0.9257,3.35,0.00257,0.00607,0.02011,0.01565,0.04007,0.02011,0.01537
2026-04-12,LINE-A,S1,2160,99.86,0.9376,3.8,0.00232,0.00605,0.02046,0.01684,0.0419,0.02049,0.01588
2026-04-12,LINE-A,S2,2160,100.62,0.9445,3.82,0.00224,0.00961,0.02534,0.01914,0.04163,0.02079,0.01617
2026-04-12,LINE-A,S3,2160,99.42,0.939,3.8,0.00203,0.00634,0.02025,0.01553,0.04119,0.02045,0.015
2026-04-12,LINE-B,S4,2160,99.63,0.9391,3.79,0.00189,0.00653,0.02007,0.01537,0.04252,0.02089,0.01524
2026-04-12,LINE-B,S5,2160,99.66,0.9455,3.8,0.00252,0.00602,0.02003,0.01513,0.04,0.03766,0.01709
2026-04-12,LINE-B,S6,2160,99.73,0.9401,3.82,0.00219,0.00612,0.02071,0.01655,0.04022,0.02096,0.01525
2026-04-12,LINE-C,S7,2160,99.72,0.9428,3.8,0.002,0.00644,0.02172,0.01713,0.04142,0.02036,0.01523
2026-04-12,LINE-C,S8,2160,99.25,0.9361,3.77,0.00298,0.00882,0.02029,0.01555,0.08874,0.02191,0.01511
2026-04-12,LINE-C,S9,2160,95.74,0.9228,3.31,0.00215,0.00613,0.02092,0.01628,0.04096,0.02063,0.01501
2026-04-13,LINE-A,S1,2340,100.31,0.9394,3.85,0.0024,0.00608,0.02053,0.0179,0.04235,0.02123,0.01583
2026-04-13,LINE-A,S2,2340,100.74,0.9358,3.76,0.00181,0.01035,0.02525,0.0204,0.04081,0.02071,0.01579
2026-04-13,LINE-A,S3,2340,99.76,0.9393,3.78,0.00094,0.00641,0.02127,0.01837,0.04143,0.02132,0.01504
2026-04-13,LINE-B,S4,2340,100.65,0.9416,3.82,0.00164,0.00616,0.02051,0.01586,0.04067,0.02057,0.01549
2026-04-13,LINE-B,S5,2340,99.44,0.9353,3.8,0.00213,0.00624,0.02002,0.01586,0.04074,0.03809,0.01615
2026-04-13,LINE-B,S6,2340,100.84,0.9379,3.83,0.00203,0.00612,0.02127,0.01526,0.04187,0.02097,0.01637
2026-04-13,LINE-C,S7,2340,99.6,0.9412,3.78,0.00175,0.00623,0.02003,0.01761,0.04058,0.021,0.01509
2026-04-13,LINE-C,S8,2340,100.4,0.9382,3.8,0.00195,0.00916,0.02046,0.01598,0.09231,0.02154,0.0163
2026-04-13,LINE-C,S9,2340,95.65,0.9144,3.31,0.00265,0.00611,0.02015,0.01679,0.0426,0.02201,0.01572
2026-04-14,LINE-A,S1,2520,99.99,0.948,3.82,0.00207,0.00613,0.02028,0.01819,0.04031,0.02085,0.01642
2026-04-14,LINE-A,S2,2520,99.67,0.9354,3.77,0.00202,0.01034,0.0278,0.01993,0.0403,0.02248,0.0159
2026-04-14,LINE-A,S3,2520,99.41,0.9432,3.78,0.00216,0.00617,0.02129,0.0153,0.04045,0.02149,0.01607
2026-04-14,LINE-B,S4,2520,99.62,0.9378,3.8,0.00137,0.00607,0.02068,0.01544,0.04191,0.02012,0.01567
2026-04-14,LINE-B,S5,2520,99.06,0.9357,3.83,0.00211,0.00612,0.0213,0.0157,0.04079,0.03931,0.01519
2026-04-14,LINE-B,S6,2520,100.21,0.9418,3.78,0.00159,0.00669,0.02023,0.0161,0.0411,0.02011,0.01523
2026-04-14,LINE-C,S7,2520,100.28,0.9348,3.81,0.00277,0.00614,0.02026,0.01576,0.04049,0.02025,0.01534
2026-04-14,LINE-C,S8,2520,100.46,0.9331,3.83,0.00185,0.00943,0.02079,0.01699,0.09718,0.02096,0.01636
2026-04-14,LINE-C,S9,2520,94.28,0.9183,3.27,0.00222,0.00605,0.0202,0.01721,0.04147,0.02287,0.01529
2026-04-15,LINE-A,S1,2700,100.62,0.9357,3.81,0.00163,0.0062,0.02103,0.01581,0.04055,0.02187,0.01668
2026-04-15,LINE-A,S2,2700,100.3,0.9393,3.82,0.00144,0.01035,0.02718,0.01976,0.04059,0.02058,0.01563
2026-04-15,LINE-A,S3,2700,100.26,0.9383,3.87,0.00137,0.00638,0.02096,0.01628,0.04268,0.021,0.01587
2026-04-15,LINE-B,S4,2700,100.01,0.9391,3.79,0.00216,0.00642,0.02013,0.01637,0.04099,0.02092,0.01559
2026-04-15,LINE-B,S5,2700,100.37,0.9389,3.77,0.00165,0.00649,0.02017,0.01513,0.04053,0.04105,0.01612
2026-04-15,LINE-B,S6,2700,99.67,0.9414,3.76,0.00258,0.00604,0.0202,0.01849,0.04182,0.02031,0.01553
2026-04-15,LINE-C,S7,2700,99.84,0.942,3.8,0.00184,0.00644,0.02008,0.01845,0.04011,0.02179,0.01532
2026-04-15,LINE-C,S8,2700,100.48,0.9371,3.77,0.00218,0.0099,0.02003,0.01693,0.10064,0.02143,0.01659
2026-04-15,LINE-C,S9,2700,94.94,0.9194,3.23,0.00193,0.00663,0.02102,0.01559,0.04205,0.02045,0.01551
2026-04-16,LINE-A,S1,2880,99.6,0.9435,3.76,0.00213,0.00605,0.02043,0.01503,0.04075,0.02107,0.01532
2026-04-16,LINE-A,S2,2880,99.45,0.9413,3.77,0.00228,0.01073,0.02913,0.02015,0.04159,0.02033,0.01519
2026-04-16,LINE-A,S3,2880,101.0,0.9405,3.8,0.00222,0.00627,0.0214,0.01752,0.04025,0.02071,0.01618
2026-04-16,LINE-B,S4,2880,99.84,0.9323,3.76,0.0009,0.00607,0.02013,0.01564,0.04129,0.0212,0.01515
2026-04-16,LINE-B,S5,2880,98.93,0.9425,3.82,0.00212,0.00629,0.02082,0.01801,0.04115,0.04229,0.01652
2026-04-16,LINE-B,S6,2880,100.76,0.939,3.83,0.00209,0.00603,0.02095,0.01535,0.04214,0.0208,0.0155
2026-04-16,LINE-C,S7,2880,100.2,0.9337,3.78,0.00177,0.00611,0.02096,0.01594,0.04087,0.02077,0.01573
2026-04-16,LINE-C,S8,2880,99.93,0.9384,3.8,0.00167,0.00982,0.02066,0.01595,0.10674,0.02016,0.01566
2026-04-16,LINE-C,S9,2880,94.68,0.9118,3.19,0.00142,0.00638,0.02002,0.01654,0.04266,0.02035,0.01607
2026-04-17,LINE-A,S1,3060,99.94,0.9335,3.73,0.00238,0.0063,0.02032,0.01708,0.04169,0.02017,0.01566
2026-04-17,LINE-A,S2,3060,100.19,0.9418,3.81,0.0021,0.01098,0.0296,0.02119,0.04136,0.02126,0.01628
2026-04-17,LINE-A,S3,3060,100.1,0.9391,3.79,0.00212,0.00608,0.02003,0.01512,0.04081,0.02053,0.01762
2026-04-17,LINE-B,S4,3060,99.11,0.9413,3.78,0.00223,0.00601,0.02053,0.01676,0.04023,0.02113,0.01711
2026-04-17,LINE-B,S5,3060,100.8,0.9415,3.83,0.00151,0.00625,0.0201,0.01503,0.04034,0.04375,0.01659
2026-04-17,LINE-B,S6,3060,100.0,0.9392,3.76,0.0022,0.00672,0.02045,0.01724,0.04006,0.02012,0.01605
2026-04-17,LINE-C,S7,3060,99.91,0.9372,3.78,0.00251,0.00616,0.02027,0.01535,0.04188,0.02039,0.01658
2026-04-17,LINE-C,S8,3060,100.38,0.9405,3.87,0.00156,0.01028,0.02126,0.01679,0.10949,0.02022,0.015
2026-04-17,LINE-C,S9,3060,93.52,0.9107,3.1,0.00218,0.00607,0.02113,0.01648,0.04044,0.02073,0.01525
2026-04-18,LINE-A,S1,3240,100.61,0.9374,3.82,0.00178,0.00607,0.0201,0.01631,0.04064,0.02157,0.01624
2026-04-18,LINE-A,S2,3240,99.73,0.935,3.81,0.00181,0.01188,0.02986,0.02362,0.04135,0.02049,0.01513
2026-04-18,LINE-A,S3,3240,99.77,0.941,3.83,0.00193,0.00617,0.02159,0.01596,0.04014,0.02101,0.01511
2026-04-18,LINE-B,S4,3240,99.71,0.9379,3.82,0.00146,0.00631,0.02098,0.01599,0.04231,0.02113,0.01509
2026-04-18,LINE-B,S5,3240,99.53,0.9379,3.8,0.00202,0.00603,0.02002,0.01532,0.04173,0.04557,0.01582
2026-04-18,LINE-B,S6,3240,99.91,0.9367,3.8,0.00184,0.00644,0.02035,0.01697,0.04081,0.02077,0.01552
2026-04-18,LINE-C,S7,3240,100.16,0.938,3.83,0.00169,0.00619,0.02046,0.01585,0.04132,0.02063,0.01654
2026-04-18,LINE-C,S8,3240,101.13,0.9359,3.8,0.00153,0.0106,0.02044,0.01659,0.11449,0.02014,0.0161
2026-04-18,LINE-C,S9,3240,94.07,0.9116,3.15,0.00148,0.00651,0.02078,0.01545,0.04162,0.02021,0.01601
2026-04-19,LINE-A,S1,3420,98.78,0.9361,3.82,0.00249,0.00633,0.02111,0.01545,0.04122,0.02166,0.01501
2026-04-19,LINE-A,S2,3420,100.14,0.9388,3.74,0.00187,0.01158,0.0311,0.02124,0.04053,0.02004,0.0154
2026-04-19,LINE-A,S3,3420,99.04,0.9419,3.8,0.00202,0.00629,0.02137,0.01796,0.04033,0.02001,0.01515
2026-04-19,LINE-B,S4,3420,99.77,0.9427,3.83,0.00219,0.00608,0.02148,0.01615,0.04147,0.02064,0.01579
2026-04-19,LINE-B,S5,3420,100.34,0.9434,3.85,0.00165,0.00607,0.02052,0.01509,0.04134,0.04572,0.01552
2026-04-19,LINE-B,S6,3420,100.11,0.939,3.84,0.00164,0.00618,0.02001,0.01632,0.0418,0.02131,0.01683
2026-04-19,LINE-C,S7,3420,100.02,0.9355,3.79,0.00226,0.00619,0.02016,0.01545,0.04081,0.02048,0.01562
2026-04-19,LINE-C,S8,3420,99.92,0.9442,3.81,0.00144,0.01078,0.02076,0.01712,0.11805,0.02029,0.01514
2026-04-19,LINE-C,S9,3420,92.48,0.9124,3.11,0.00178,0.00618,0.02084,0.0166,0.04219,0.02073,0.01663
2026-04-20,LINE-A,S1,3600,100.71,0.9382,3.8,0.0012,0.00608,0.02074,0.0153,0.04187,0.02054,0.01592
2026-04-20,LINE-A,S2,3600,99.61,0.9355,3.74,0.00189,0.01212,0.0324,0.02164,0.04054,0.02108,0.0155
2026-04-20,LINE-A,S3,3600,100.31,0.9354,3.8,0.00206,0.00614,0.0203,0.01617,0.04061,0.02055,0.01763
2026-04-20,LINE-B,S4,3600,100.6,0.9278,3.78,0.00241,0.0061,0.02103,0.01664,0.04123,0.02192,0.01602
2026-04-20,LINE-B,S5,3600,99.97,0.9352,3.78,0.00159,0.00626,0.02051,0.01758,0.04048,0.0484,0.01616
2026-04-20,LINE-B,S6,3600,100.8,0.9399,3.77,0.00173,0.00624,0.02089,0.01514,0.04147,0.02218,0.01534
2026-04-20,LINE-C,S7,3600,99.1,0.937,3.77,0.00165,0.0066,0.02004,0.01537,0.04213,0.02065,0.01519
2026-04-20,LINE-C,S8,3600,99.49,0.9436,3.76,0.00189,0.0109,0.02012,0.01596,0.1227,0.02024,0.01566
2026-04-20,LINE-C,S9,3600,93.7,0.9098,3.03,0.00191,0.00609,0.02007,0.01754,0.04161,0.02077,0.0167
2026-04-21,LINE-A,S1,3780,100.09,0.9378,3.8,0.0019,0.00624,0.0202,0.0153,0.04092,0.02081,0.01622
2026-04-21,LINE-A,S2,3780,100.2,0.9422,3.81,0.00239,0.01224,0.03368,0.02243,0.04011,0.02053,0.01699
2026-04-21,LINE-A,S3,3780,100.13,0.9344,3.83,0.00196,0.00633,0.02083,0.01594,0.04152,0.02178,0.01559
2026-04-21,LINE-B,S4,3780,99.99,0.9464,3.8,0.00199,0.0062,0.02041,0.01571,0.04002,0.02079,0.01512
2026-04-21,LINE-B,S5,3780,99.97,0.9347,3.76,0.00223,0.00678,0.02014,0.01572,0.04157,0.04887,0.01559
2026-04-21,LINE-B,S6,3780,100.06,0.9429,3.79,0.0024,0.0063,0.02021,0.01638,0.04079,0.02192,0.01569
2026-04-21,LINE-C,S7,3780,99.31,0.936,3.82,0.0022,0.00603,0.02079,0.01615,0.04147,0.02116,0.01757
2026-04-21,LINE-C,S8,3780,100.18,0.9423,3.79,0.00128,0.01114,0.02077,0.01717,0.12681,0.02027,0.01534
2026-04-21,LINE-C,S9,3780,92.57,0.8975,2.99,0.00192,0.0061,0.02098,0.01797,0.04031,0.02006,0.01616
2026-04-22,LINE-A,S1,3960,99.54,0.9416,3.81,0.00154,0.00605,0.02072,0.01617,0.04011,0.02047,0.01557
2026-04-22,LINE-A,S2,3960,100.23,0.9408,3.82,0.00205,0.01287,0.03468,0.02469,0.04104,0.0208,0.01663
2026-04-22,LINE-A,S3,3960,99.64,0.9431,3.79,0.0018,0.00642,0.02073,0.0162,0.04025,0.02039,0.01545
2026-04-22,LINE-B,S4,3960,100.46,0.9408,3.81,0.0019,0.00602,0.02008,0.01532,0.04093,0.02056,0.01504
2026-04-22,LINE-B,S5,3960,99.6,0.9403,3.8,0.00208,0.00666,0.02037,0.01563,0.04128,0.05028,0.0171
2026-04-22,LINE-B,S6,3960,100.16,0.9368,3.79,0.0021,0.00625,0.02022,0.01689,0.04011,0.02033,0.01743
2026-04-22,LINE-C,S7,3960,100.2,0.9371,3.78,0.00162,0.00628,0.02026,0.01519,0.04008,0.02073,0.01576
2026-04-22,LINE-C,S8,3960,99.46,0.9409,3.82,0.00213,0.01152,0.02047,0.01612,0.13152,0.02094,0.01617
2026-04-22,LINE-C,S9,3960,92.41,0.9064,2.95,0.0017,0.00618,0.0206,0.01662,0.04036,0.02122,0.0153
2026-04-23,LINE-A,S1,4140,100.3,0.9385,3.86,0.00209,0.00656,0.0207,0.01761,0.04002,0.02012,0.01542
2026-04-23,LINE-A,S2,4140,101.01,0.9422,3.82,0.00163,0.01278,0.03642,0.02327,0.04223,0.02018,0.01501
2026-04-23,LINE-A,S3,4140,99.91,0.9404,3.82,0.00243,0.00609,0.02032,0.01566,0.04073,0.02043,0.01571
2026-04-23,LINE-B,S4,4140,100.49,0.9452,3.85,0.00165,0.006,0.02001,0.01515,0.04078,0.02149,0.01508
2026-04-23,LINE-B,S5,4140,99.62,0.9403,3.78,0.00156,0.00607,0.02011,0.01587,0.04262,0.0524,0.01544
2026-04-23,LINE-B,S6,4140,99.36,0.9463,3.77,0.00158,0.00601,0.02006,0.01635,0.04037,0.02123,0.01573
2026-04-23,LINE-C,S7,4140,99.3,0.9438,3.81,0.00175,0.00647,0.02052,0.01508,0.0414,0.02104,0.01508
2026-04-23,LINE-C,S8,4140,100.34,0.9305,3.83,0.00153,0.01165,0.02017,0.01663,0.13525,0.02238,0.01571
