NCR_NO,SERIAL_NO,DEFECT_CATEGORY,SEVERITY,DISPOSITION,OPENED_DT,CLOSED_DT,CAPA_NO,ORIGINATOR
NCR-2026-0061,s6-11-0096,SOLDER,MINOR,USE AS IS,2026-04-12,2026-04-30,,QE-105
NCR-2026-0062,s9-11-0018,MISSING COMPONENT,MINOR,REWORK,2026-04-12,2026-04-19,,QE-111
NCR-2026-0063,s4-11-0068,MISSING COMPONENT,MINOR,REWORK,2026-04-12,2026-04-27,,QE-106
NCR-2026-0064,s4-12-0149,MISSING COMPONENT,MAJOR,REWORK,2026-04-13,2026-04-19,CAPA-2063,QE-107
NCR-2026-0065,s4-12-9999,SURFACE FINISH,MINOR,REWORK,2026-04-13,2026-04-14,,QE-105
NCR-2026-0066,s5-12-0007,MISSING COMPONENT,MINOR,USE AS IS,2026-04-13,2026-04-14,,QE-103
NCR-2026-0067,s5-13-0069,SOLDER,MINOR,REWORK,2026-04-14,2026-04-23,,QE-106
NCR-2026-0068,s2-13-0052,MISSING COMPONENT,MINOR,REWORK,2026-04-14,2026-04-17,,QE-105
NCR-2026-0069,s4-13-0169,LABELING,MINOR,REWORK,2026-04-14,2026-04-15,,QE-100
NCR-2026-0070,s1-14-0112,SOLDER,MINOR,REWORK,2026-04-15,2026-04-30,,QE-102
NCR-2026-0071,s9-14-0016,SURFACE FINISH,MINOR,REWORK,2026-04-15,2026-04-18,,QE-106
NCR-2026-0072,s2-14-0181,MISSING COMPONENT,MINOR,REWORK,2026-04-15,2026-04-30,,QE-109
NCR-2026-0073,s9-14-0157,SURFACE FINISH,MINOR,REWORK,2026-04-15,2026-04-20,,QE-107
NCR-2026-0074,s2-15-0051,MISSING COMPONENT,MINOR,REWORK,2026-04-16,2026-04-18,,QE-103
NCR-2026-0075,s3-15-0138,SURFACE FINISH,MINOR,REWORK,2026-04-16,2026-04-21,,QE-102
NCR-2026-0076,s9-15-0007,LABELING,MAJOR,SCRAP,2026-04-16,2026-04-19,CAPA-2075,QE-104
NCR-2026-0077,s4-15-0032,MISSING COMPONENT,MINOR,REWORK,2026-04-16,2026-04-27,,QE-105
NCR-2026-0078,s5-15-0141,SOLDER,MINOR,REWORK,2026-04-16,2026-04-22,,QE-106
NCR-2026-0079,s5-16-0149,SOLDER,MINOR,REWORK,2026-04-17,2026-05-06,,QE-107
NCR-2026-0080,s1-16-9999,SOLDER,MAJOR,REWORK,2026-04-17,2026-04-30,CAPA-2079,QE-103
NCR-2026-0081,s5-16-9999,SOLDER,MINOR,REWORK,2026-04-17,2026-05-01,,QE-108
NCR-2026-0082,s9-16-9999,MISSING COMPONENT,MINOR,USE AS IS,2026-04-17,2026-04-21,,QE-110
NCR-2026-0083,s7-16-0030,LABELING,MINOR,REWORK,2026-04-17,2026-04-25,,QE-107
NCR-2026-0084,s4-16-0126,SOLDER,MINOR,USE AS IS,2026-04-17,2026-05-07,,QE-100
NCR-2026-0085,s9-17-0088,SOLDER,MINOR,REWORK,2026-04-18,2026-04-20,,QE-105
NCR-2026-0086,s7-17-0034,SURFACE FINISH,MINOR,REWORK,2026-04-18,2026-04-30,,QE-110
NCR-2026-0087,s4-17-0120,SOLDER,MAJOR,REWORK,2026-04-18,2026-04-29,CAPA-2086,QE-110
NCR-2026-0088,s8-17-0163,LABELING,MINOR,REWORK,2026-04-18,2026-04-28,,QE-106
NCR-2026-0089,s1-17-0102,SOLDER,MINOR,USE AS IS,2026-04-18,2026-04-28,,QE-107
NCR-2026-0090,s8-18-0027,SOLDER,MINOR,USE AS IS,2026-04-19,2026-05-02,,QE-110
NCR-2026-0091,s9-18-0196,MISSING COMPONENT,MINOR,REWORK,2026-04-19,2026-04-28,,QE-109
NCR-2026-0092,s1-18-0017,SOLDER,MINOR,USE AS IS,2026-04-19,2026-05-03,,QE-108
NCR-2026-0093,s3-18-0153,MISSING COMPONENT,MAJOR,REWORK,2026-04-19,2026-05-03,CAPA-2092,QE-104
NCR-2026-0094,s5-18-0016,SOLDER,MINOR,REWORK,2026-04-19,2026-04-30,,QE-111
NCR-2026-0095,s7-18-0086,MISSING COMPONENT,MINOR,REWORK,2026-04-19,2026-05-02,,QE-111
NCR-2026-0096,s3-18-0155,SOLDER,MINOR,USE AS IS,2026-04-19,2026-04-27,,QE-104
NCR-2026-0097,s7-18-0029,MISSING COMPONENT,MINOR,REWORK,2026-04-19,2026-04-29,,QE-106
NCR-2026-0098,s8-19-0044,SURFACE FINISH,MINOR,REWORK,2026-04-20,2026-05-01,,QE-106
NCR-2026-0099,s3-19-0033,MISSING COMPONENT,MAJOR,SCRAP,2026-04-20,2026-05-05,CAPA-2098,QE-109
NCR-2026-0100,s9-19-0055,LABELING,MINOR,REWORK,2026-04-20,2026-05-09,,QE-104
NCR-2026-0101,s5-19-0147,SOLDER,MAJOR,REWORK,2026-04-20,2026-04-28,CAPA-2100,QE-109
NCR-2026-0102,s3-19-0089,SOLDER,MINOR,REWORK,2026-04-20,2026-05-02,,QE-107
NCR-2026-0103,s4-20-0020,MISSING COMPONENT,MINOR,REWORK,2026-04-21,2026-05-06,,QE-105
NCR-2026-0104,s6-20-0131,SOLDER,MINOR,USE AS IS,2026-04-21,2026-04-30,,QE-105
NCR-2026-0105,s4-20-0042,MISSING COMPONENT,MINOR,REWORK,2026-04-21,2026-05-07,,QE-102
NCR-2026-0106,s4-20-0102,SURFACE FINISH,MINOR,REWORK,2026-04-21,2026-05-09,,QE-111
NCR-2026-0107,s6-20-0132,SURFACE FINISH,MINOR,REWORK,2026-04-21,2026-05-01,,QE-100
NCR-2026-0108,s2-20-0059,SOLDER,MINOR,REWORK,2026-04-21,2026-05-10,,QE-111
NCR-2026-0109,s4-20-0013,MISSING COMPONENT,MINOR,REWORK,2026-04-21,2026-04-30,,QE-111
NCR-2026-0110,s7-21-0072,SOLDER,MINOR,REWORK,2026-04-22,2026-05-09,,QE-102
NCR-2026-0111,s4-21-0010,MISSING COMPONENT,MINOR,USE AS IS,2026-04-22,2026-04-23,,QE-105
NCR-2026-0112,s3-21-9999,MISSING COMPONENT,MINOR,REWORK,2026-04-22,2026-04-25,,QE-110
NCR-2026-0113,s4-21-0013,SOLDER,MINOR,USE AS IS,2026-04-22,2026-04-28,,QE-102
NCR-2026-0114,s2-21-0074,MISSING COMPONENT,MINOR,REWORK,2026-04-22,2026-05-05,,QE-100
NCR-2026-0115,s8-21-0108,SOLDER,MAJOR,SCRAP,2026-04-22,2026-05-04,CAPA-2114,QE-100
NCR-2026-0116,s8-21-0178,MISSING COMPONENT,MINOR,REWORK,2026-04-22,2026-04-23,,QE-105
NCR-2026-0117,s2-21-0106,SOLDER,MINOR,REWORK,2026-04-22,2026-04-27,,QE-111
NCR-2026-0118,s2-22-0100,LABELING,MINOR,REWORK,2026-04-23,2026-04-30,,QE-103
NCR-2026-0119,s7-22-0060,MISSING COMPONENT,MINOR,REWORK,2026-04-23,2026-05-13,,QE-103
NCR-2026-0120,s5-22-0014,SURFACE FINISH,MINOR,USE AS IS,2026-04-23,2026-04-26,,QE-105
NCR-2026-0121,s2-23-0060,MISSING COMPONENT,MINOR,REWORK,2026-04-24,2026-04-30,,QE-107
NCR-2026-0122,s7-23-0144,MISSING COMPONENT,MINOR,USE AS IS,2026-04-24,2026-05-09,,QE-105
NCR-2026-0123,s9-24-0127,SOLDER,MINOR,REWORK,2026-04-25,2026-04-28,,QE-103
NCR-2026-0124,s3-24-0143,MISSING COMPONENT,MAJOR,REWORK,2026-04-25,2026-05-10,CAPA-2123,QE-107
NCR-2026-0125,s4-24-0065,SOLDER,MINOR,REWORK,2026-04-25,2026-04-29,,QE-103
NCR-2026-0126,s3-24-0039,SOLDER,MINOR,REWORK,2026-04-25,2026-05-01,,QE-101
NCR-2026-0127,s7-24-0110,SOLDER,MINOR,REWORK,2026-04-25,2026-05-11,,QE-107
NCR-2026-0128,s4-25-0145,LABELING,MINOR,REWORK,2026-04-26,2026-05-12,,QE-110
NCR-2026-0129,s9-25-0100,LABELING,MINOR,REWORK,2026-04-26,2026-05-06,,QE-100
NCR-2026-0130,s8-26-0069,SOLDER,MINOR,REWORK,2026-04-27,2026-05-13,,QE-107
NCR-2026-0131,s4-26-0017,LABELING,MINOR,REWORK,2026-04-27,2026-05-10,,QE-109
NCR-2026-0132,s9-27-0166,SOLDER,MINOR,REWORK,2026-04-28,2026-05-10,,QE-103
NCR-2026-0133,s7-27-0072,SOLDER,MAJOR,REWORK,2026-04-28,2026-05-16,CAPA-2132,QE-111
NCR-2026-0134,s5-28-0128,MISSING COMPONENT,MINOR,REWORK,2026-04-29,2026-05-15,,QE-109
NCR-2026-0135,s3-28-0166,LABELING,MINOR,REWORK,2026-04-29,2026-05-15,,QE-102
NCR-2026-0136,s4-28-0138,LABELING,MAJOR,SCRAP,2026-04-29,2026-05-06,CAPA-2135,QE-110
NCR-2026-0137,s2-28-0000,MISSING COMPONENT,MINOR,REWORK,2026-04-29,2026-05-06,,QE-111
NCR-2026-0138,s7-28-0003,SOLDER,MINOR,REWORK,2026-04-29,2026-05-01,,QE-110
NCR-2026-0139,s2-29-0173,MISSING COMPONENT,MINOR,REWORK,2026-04-30,2026-05-19,,QE-108
NCR-2026-0140,s5-29-9999,SOLDER,MINOR,REWORK,2026-04-30,2026-05-15,,QE-101
NCR-2026-0141,s6-29-0118,MISSING COMPONENT,MINOR,REWORK,2026-04-30,2026-05-09,,QE-109
NCR-2026-0142,s2-29-0175,MISSING COMPONENT,MINOR,REWORK,2026-04-30,2026-05-08,,QE-106
NCR-2026-0143,s6-29-0116,SOLDER,MINOR,REWORK,2026-04-30,2026-05-09,,QE-110
NCR-2026-0144,s6-29-0162,OTHER,MINOR,REWORK,2026-04-30,2026-05-12,,QE-108
NCR-2026-0145,s2-29-0066,MISSING COMPONENT,MINOR,REWORK,2026-04-30,2026-05-19,,QE-103
NCR-2026-0146,s7-30-0065,SOLDER,MINOR,REWORK,2026-05-01,2026-05-03,,QE-106
NCR-2026-0147,s7-30-0037,SOLDER,MINOR,REWORK,2026-05-01,2026-05-03,,QE-101
NCR-2026-0148,s3-30-0089,SOLDER,MINOR,USE AS IS,2026-05-01,2026-05-06,,QE-100
NCR-2026-0149,s4-30-0039,SURFACE FINISH,MINOR,REWORK,2026-05-01,2026-05-06,,QE-100
NCR-2026-0150,s8-30-0080,MISSING COMPONENT,MINOR,REWORK,2026-05-01,2026-05-18,,QE-111
NCR-2026-0151,s1-30-0151,SOLDER,MAJOR,SCRAP,2026-05-01,2026-05-11,CAPA-2150,QE-107
NCR-2026-0152,s5-31-0132,MISSING COMPONENT,MINOR,REWORK,2026-05-02,2026-05-05,,QE-104
NCR-2026-0153,s8-31-0116,SOLDER,MAJOR,REWORK,2026-05-02,2026-05-20,CAPA-2152,QE-103
NCR-2026-0154,s2-31-0096,SOLDER,MINOR,REWORK,2026-05-02,2026-05-05,,QE-101
NCR-2026-0155,s7-31-0059,SOLDER,MINOR,USE AS IS,2026-05-02,2026-05-13,,QE-109
NCR-2026-0156,s3-32-0008,SOLDER,MAJOR,SCRAP,2026-05-03,2026-05-05,CAPA-2155,QE-102
NCR-2026-0157,s8-32-0144,MISSING COMPONENT,MINOR,REWORK,2026-05-03,2026-05-11,,QE-102
NCR-2026-0158,s4-32-0079,SOLDER,MINOR,REWORK,2026-05-03,2026-05-05,,QE-100
NCR-2026-0159,s7-32-0118,SOLDER,MINOR,REWORK,2026-05-03,2026-05-15,,QE-104
NCR-2026-0160,s7-33-9999,MISSING COMPONENT,MINOR,REWORK,2026-05-04,2026-05-13,,QE-107
NCR-2026-0161,s5-33-0109,SOLDER,MINOR,REWORK,2026-05-04,2026-05-14,,QE-109
NCR-2026-0162,s3-34-0174,MISSING COMPONENT,MINOR,USE AS IS,2026-05-05,2026-05-12,,QE-103
NCR-2026-0163,s9-34-0043,LABELING,MAJOR,SCRAP,2026-05-05,2026-05-08,CAPA-2162,QE-102
NCR-2026-0164,s9-35-0071,SURFACE FINISH,MINOR,REWORK,2026-05-06,2026-05-15,,QE-104
NCR-2026-0165,s4-36-0133,SOLDER,MINOR,REWORK,2026-05-07,2026-05-27,,QE-100
NCR-2026-0166,s6-36-0016,SOLDER,MINOR,REWORK,2026-05-07,2026-05-08,,QE-107
NCR-2026-0167,s7-36-0088,SOLDER,MAJOR,SCRAP,2026-05-07,2026-05-19,CAPA-2166,QE-109
NCR-2026-0168,s7-36-0065,SOLDER,MINOR,USE AS IS,2026-05-07,2026-05-23,,QE-106
NCR-2026-0169,s9-36-0027,SOLDER,MINOR,USE AS IS,2026-05-07,2026-05-16,,QE-105
NCR-2026-0170,s5-36-0048,SURFACE FINISH,MINOR,REWORK,2026-05-07,2026-05-14,,QE-101
NCR-2026-0171,s3-36-0060,SOLDER,MINOR,REWORK,2026-05-07,2026-05-20,,QE-100
NCR-2026-0172,s9-37-0005,MISSING COMPONENT,MINOR,REWORK,2026-05-08,2026-05-22,,QE-103
NCR-2026-0173,s2-37-0087,SURFACE FINISH,MINOR,REWORK,2026-05-08,2026-05-23,,QE-108
NCR-2026-0174,s1-37-0137,MISSING COMPONENT,MINOR,USE AS IS,2026-05-08,2026-05-28,,QE-101
NCR-2026-0175,s3-37-0041,DIMENSIONAL,MAJOR,SCRAP,2026-05-08,2026-05-12,CAPA-2174,QE-102
NCR-2026-0176,s9-37-0077,SOLDER,MINOR,USE AS IS,2026-05-08,2026-05-15,,QE-101
NCR-2026-0177,s7-37-0030,SURFACE FINISH,MINOR,REWORK,2026-05-08,2026-05-12,,QE-111
NCR-2026-0178,s2-37-0074,LABELING,MINOR,REWORK,2026-05-08,2026-05-21,,QE-108
NCR-2026-0179,s9-37-0031,MISSING COMPONENT,MINOR,REWORK,2026-05-08,2026-05-22,,QE-101
NCR-2026-0180,s8-37-0196,MISSING COMPONENT,MINOR,REWORK,2026-05-08,2026-05-20,,QE-109
NCR-2026-0181,s2-38-0180,SOLDER,MINOR,REWORK,2026-05-09,2026-05-12,,QE-103
NCR-2026-0182,s1-38-0073,SOLDER,MAJOR,REWORK,2026-05-09,2026-05-24,CAPA-2181,QE-108
NCR-2026-0183,s4-38-0076,MISSING COMPONENT,MINOR,REWORK,2026-05-09,2026-05-11,,QE-110
NCR-2026-0184,s2-38-0158,SOLDER,MINOR,REWORK,2026-05-09,2026-05-16,,QE-101
NCR-2026-0185,s5-39-0105,MISSING COMPONENT,MINOR,REWORK,2026-05-10,2026-05-28,,QE-101
NCR-2026-0186,s5-39-0129,LABELING,MINOR,REWORK,2026-05-10,2026-05-15,,QE-103
NCR-2026-0187,s6-39-0087,SOLDER,MAJOR,REWORK,2026-05-10,2026-05-28,CAPA-2186,QE-105
NCR-2026-0188,s8-39-0026,SOLDER,MINOR,USE AS IS,2026-05-10,2026-05-17,,QE-101
NCR-2026-0189,s3-40-0131,SOLDER,MINOR,REWORK,2026-05-11,2026-05-26,,QE-110
NCR-2026-0190,s3-40-0031,MISSING COMPONENT,MINOR,REWORK,2026-05-11,2026-05-25,,QE-100
NCR-2026-0191,s5-40-0120,SOLDER,MAJOR,SCRAP,2026-05-11,2026-05-30,CAPA-2190,QE-102
NCR-2026-0192,s4-40-0016,SURFACE FINISH,MINOR,REWORK,2026-05-11,2026-05-30,,QE-102
NCR-2026-0193,s9-40-0129,SOLDER,MINOR,REWORK,2026-05-11,2026-05-30,,QE-101
NCR-2026-0194,s5-41-0078,MISSING COMPONENT,MINOR,REWORK,2026-05-12,2026-05-29,,QE-110
NCR-2026-0195,s5-41-0003,SOLDER,MINOR,REWORK,2026-05-12,2026-05-26,,QE-107
NCR-2026-0196,s5-42-0063,MISSING COMPONENT,MINOR,REWORK,2026-05-13,2026-05-24,,QE-107
NCR-2026-0197,s2-42-0066,SOLDER,MINOR,REWORK,2026-05-13,2026-05-25,,QE-110
NCR-2026-0198,s5-42-0179,SOLDER,MINOR,REWORK,2026-05-13,2026-06-02,,QE-100
NCR-2026-0199,s1-42-0107,SURFACE FINISH,MINOR,REWORK,2026-05-13,2026-05-15,,QE-102
NCR-2026-0200,s3-43-0093,SURFACE FINISH,MINOR,REWORK,2026-05-14,2026-05-30,,QE-103
NCR-2026-0201,s3-43-0060,SOLDER,MINOR,USE AS IS,2026-05-14,2026-05-23,,QE-101
NCR-2026-0202,s1-43-0069,LABELING,MINOR,REWORK,2026-05-14,2026-05-23,,QE-102
NCR-2026-0203,s9-43-0106,MISSING COMPONENT,MINOR,REWORK,2026-05-14,2026-05-15,,QE-101
NCR-2026-0204,s4-44-0185,SOLDER,MINOR,USE AS IS,2026-05-15,2026-06-03,,QE-106
NCR-2026-0205,s2-44-0130,SOLDER,MINOR,REWORK,2026-05-15,2026-05-20,,QE-106
NCR-2026-0206,s6-44-0121,LABELING,MINOR,REWORK,2026-05-15,2026-05-30,,QE-108
NCR-2026-0207,s7-44-0036,SOLDER,MINOR,REWORK,2026-05-15,2026-05-18,,QE-103
NCR-2026-0208,s7-44-0151,SOLDER,MINOR,REWORK,2026-05-15,2026-05-28,,QE-106
NCR-2026-0209,s9-44-0138,MISSING COMPONENT,MINOR,REWORK,2026-05-15,2026-05-16,,QE-101
NCR-2026-0210,s6-44-0079,SOLDER,MINOR,REWORK,2026-05-15,2026-06-03,,QE-107
NCR-2026-0211,s9-45-0136,SOLDER,MINOR,REWORK,2026-05-16,2026-05-18,,QE-106
NCR-2026-0212,s3-45-0125,DIMENSIONAL,MAJOR,SCRAP,2026-05-16,2026-06-02,CAPA-2211,QE-103
NCR-2026-0213,s5-45-0179,MISSING COMPONENT,MAJOR,REWORK,2026-05-16,2026-06-01,CAPA-2212,QE-100
NCR-2026-0214,s1-45-0030,SOLDER,MINOR,REWORK,2026-05-16,2026-05-22,,QE-108
NCR-2026-0215,s9-45-0003,SOLDER,MINOR,REWORK,2026-05-16,2026-05-28,,QE-109
NCR-2026-0216,s5-46-9999,SURFACE FINISH,MINOR,REWORK,2026-05-17,2026-05-28,,QE-111
NCR-2026-0217,s1-46-0168,MISSING COMPONENT,MAJOR,REWORK,2026-05-17,2026-05-30,CAPA-2216,QE-103
NCR-2026-0218,s7-46-0130,SOLDER,MINOR,USE AS IS,2026-05-17,2026-05-27,,QE-107
NCR-2026-0219,s2-46-0158,SOLDER,MINOR,REWORK,2026-05-17,2026-05-28,,QE-105
NCR-2026-0220,s2-46-0168,OTHER,MINOR,USE AS IS,2026-05-17,2026-06-04,,QE-100
NCR-2026-0221,s5-46-0051,MISSING COMPONENT,MINOR,REWORK,2026-05-17,2026-05-18,,QE-110
NCR-2026-0222,s2-47-0086,MISSING COMPONENT,MINOR,REWORK,2026-05-18,2026-05-31,,QE-105
NCR-2026-0223,s1-47-0064,SURFACE FINISH,MINOR,REWORK,2026-05-18,2026-05-30,,QE-110
NCR-2026-0224,s3-47-0155,DIMENSIONAL,MAJOR,REWORK,2026-05-18,2026-05-27,CAPA-2223,QE-105
NCR-2026-0225,s3-47-9999,DIMENSIONAL,MAJOR,SCRAP,2026-05-18,2026-05-28,CAPA-2224,QE-108
NCR-2026-0226,s3-48-0174,SOLDER,MAJOR,REWORK,2026-05-19,2026-05-27,CAPA-2225,QE-103
NCR-2026-0227,s6-48-0012,SOLDER,MINOR,REWORK,2026-05-19,2026-05-30,,QE-104
NCR-2026-0228,s1-48-0014,MISSING COMPONENT,MINOR,USE AS IS,2026-05-19,2026-05-26,,QE-107
NCR-2026-0229,s3-48-9999,DIMENSIONAL,MAJOR,REWORK,2026-05-19,2026-05-29,CAPA-2228,QE-102
NCR-2026-0230,s3-48-0042,LABELING,MINOR,REWORK,2026-05-19,2026-06-05,,QE-111
NCR-2026-0231,s5-48-0054,SURFACE FINISH,MAJOR,REWORK,2026-05-19,2026-05-25,CAPA-2230,QE-106
NCR-2026-0232,s5-49-0105,SOLDER,MINOR,REWORK,2026-05-20,2026-06-06,,QE-110
NCR-2026-0233,s6-49-0019,SOLDER,MINOR,REWORK,2026-05-20,2026-06-08,,QE-111
NCR-2026-0234,s3-49-0021,DIMENSIONAL,MAJOR,SCRAP,2026-05-20,2026-05-22,CAPA-2233,QE-105
NCR-2026-0235,s3-49-0138,MISSING COMPONENT,MINOR,REWORK,2026-05-20,2026-05-26,,QE-108
NCR-2026-0236,s5-50-9999,SOLDER,MINOR,REWORK,2026-05-21,2026-05-24,,QE-111
NCR-2026-0237,s5-50-0085,MISSING COMPONENT,MINOR,REWORK,2026-05-21,2026-05-25,,QE-105
NCR-2026-0238,s3-50-0100,DIMENSIONAL,MAJOR,REWORK,2026-05-21,2026-05-31,CAPA-2237,QE-110
NCR-2026-0239,s9-51-0113,SURFACE FINISH,MINOR,REWORK,2026-05-22,2026-06-11,,QE-107
NCR-2026-0240,s5-51-0129,SOLDER,MINOR,REWORK,2026-05-22,2026-05-31,,QE-100
