line_id,station_id,date,work_order_no,item_no,n_first_pass,n_fail,ncr_count,ncr_scrap,has_work_order,wo_day_seq,wo_cum_units
LINE-A,S1,2026-05-09,WO-100006,1000-C,184,6,1,0,True,4,717
LINE-A,S1,2026-05-10,WO-100006,1000-C,190,1,0,0,True,5,907
LINE-A,S1,2026-05-11,WO-100006,1000-C,162,3,0,0,True,6,1069
LINE-A,S1,2026-05-12,WO-100006,1000-C,199,2,0,0,True,7,1268
LINE-A,S1,2026-05-13,WO-100007,1000-C,150,3,1,0,True,1,150
LINE-A,S1,2026-05-14,WO-100007,1000-C,195,4,1,0,True,2,345
LINE-A,S1,2026-05-15,WO-100007,1000-C,195,3,0,0,True,3,540
LINE-A,S1,2026-05-16,WO-100007,1000-C,162,4,1,0,True,4,702
LINE-A,S1,2026-05-17,WO-100007,1000-C,190,2,1,0,True,5,892
LINE-A,S1,2026-05-18,WO-100007,1000-C,194,4,1,0,True,6,1086
LINE-A,S1,2026-05-19,WO-100007,1000-C,190,4,1,0,True,7,1276
LINE-A,S1,2026-05-20,WO-100008,1000-C,180,5,0,0,True,1,180
LINE-A,S1,2026-05-21,WO-100008,1000-C,162,1,0,0,True,2,342
LINE-A,S1,2026-05-22,WO-100008,1000-C,167,3,0,0,True,3,509
LINE-A,S1,2026-05-23,WO-100008,1000-C,168,2,0,0,True,4,677
LINE-A,S1,2026-05-24,WO-100008,1000-C,188,6,1,0,True,5,865
LINE-A,S1,2026-05-25,WO-100008,1000-C,185,2,0,0,True,6,1050
LINE-A,S1,2026-05-26,WO-100008,1000-C,174,3,0,0,True,7,1224
LINE-A,S1,2026-05-27,WO-100009,1000-C,184,2,0,0,True,1,184
LINE-A,S1,2026-05-28,WO-100009,1000-C,164,4,1,0,True,2,348
LINE-A,S1,2026-05-29,WO-100009,1000-C,187,4,1,0,True,3,535
LINE-A,S1,2026-05-30,WO-100009,1000-C,160,4,0,0,True,4,695
LINE-A,S2,2026-04-01,WO-100001,1000-C,150,3,1,0,True,1,150
LINE-A,S2,2026-04-02,WO-100001,1000-C,175,3,0,0,True,2,325
LINE-A,S2,2026-04-03,WO-100001,1000-C,208,4,0,0,True,3,533
LINE-A,S2,2026-04-04,WO-100001,1000-C,153,3,0,0,True,4,686
LINE-A,S2,2026-04-05,WO-100001,1000-C,159,3,0,0,True,5,845
LINE-A,S2,2026-04-06,WO-100001,1000-C,155,3,1,0,True,6,1000
LINE-A,S2,2026-04-07,WO-100001,1000-C,150,0,0,0,True,7,1150
LINE-A,S2,2026-04-08,WO-100002,1000-C,207,6,0,0,True,1,207
LINE-A,S2,2026-04-09,WO-100002,1000-C,151,4,2,1,True,2,358
LINE-A,S2,2026-04-10,WO-100002,1000-C,154,6,1,0,True,3,512
LINE-A,S2,2026-04-11,WO-100002,1000-C,197,5,0,0,True,4,709
LINE-A,S2,2026-04-12,WO-100002,1000-C,181,3,0,0,True,5,890
LINE-A,S2,2026-04-13,WO-100002,1000-C,183,4,0,0,True,6,1073
LINE-A,S2,2026-04-14,WO-100002,1000-C,184,3,1,0,True,7,1257
LINE-A,S2,2026-04-15,WO-100003,1000-B,205,5,1,0,True,1,205
LINE-A,S2,2026-04-16,WO-100003,1000-B,150,4,1,0,True,2,355
LINE-A,S2,2026-04-17,WO-100003,1000-B,196,5,0,0,True,3,551
LINE-A,S2,2026-04-18,WO-100003,1000-B,188,4,0,0,True,4,739
LINE-A,S2,2026-04-19,WO-100003,1000-B,199,4,0,0,True,5,938
LINE-A,S2,2026-04-20,WO-100003,1000-B,176,3,0,0,True,6,1114
LINE-A,S2,2026-04-21,WO-100003,1000-B,154,7,1,0,True,7,1268
LINE-A,S2,2026-04-22,WO-100004,1000-C,195,4,2,0,True,1,195
LINE-A,S2,2026-04-23,WO-100004,1000-C,183,3,1,0,True,2,378
LINE-A,S2,2026-04-24,WO-100004,1000-C,203,7,1,0,True,3,581
LINE-A,S2,2026-04-25,WO-100004,1000-C,207,2,0,0,True,4,788
LINE-A,S2,2026-04-26,WO-100004,1000-C,172,4,0,0,True,5,960
LINE-A,S2,2026-04-27,WO-100004,1000-C,160,4,0,0,True,6,1120
LINE-A,S2,2026-04-28,WO-100004,1000-C,169,7,0,0,True,7,1289
LINE-A,S2,2026-04-29,WO-100005,1000-C,195,6,1,0,True,1,195
LINE-A,S2,2026-04-30,WO-100005,1000-C,178,7,3,0,True,2,373
LINE-A,S2,2026-05-01,WO-100005,1000-C,191,10,0,0,True,3,564
LINE-A,S2,2026-05-02,WO-100005,1000-C,160,3,1,0,True,4,724
LINE-A,S2,2026-05-03,WO-100005,1000-C,156,2,0,0,True,5,880
LINE-A,S2,2026-05-04,WO-100005,1000-C,152,0,0,0,True,6,1032
LINE-A,S2,2026-05-05,WO-100005,1000-C,180,6,0,0,True,7,1212
LINE-A,S2,2026-05-06,WO-100006,1000-C,151,4,0,0,True,1,151
LINE-A,S2,2026-05-07,WO-100006,1000-C,175,3,0,0,True,2,326
LINE-A,S2,2026-05-08,WO-100006,1000-C,193,2,2,0,True,3,519
LINE-A,S2,2026-05-09,WO-100006,1000-C,188,13,2,0,True,4,707
LINE-A,S2,2026-05-10,WO-100006,1000-C,173,5,0,0,True,5,880
LINE-A,S2,2026-05-11,WO-100006,1000-C,160,5,0,0,True,6,1040
LINE-A,S2,2026-05-12,WO-100006,1000-C,194,5,0,0,True,7,1234
LINE-A,S2,2026-05-13,WO-100007,1000-C,207,10,1,0,True,1,207
LINE-A,S2,2026-05-14,WO-100007,1000-C,165,3,0,0,True,2,372
LINE-A,S2,2026-05-15,WO-100007,1000-C,153,3,1,0,True,3,525
LINE-A,S2,2026-05-16,WO-100007,1000-C,171,3,0,0,True,4,696
LINE-A,S2,2026-05-17,WO-100007,1000-C,182,3,2,0,True,5,878
LINE-A,S2,2026-05-18,WO-100007,1000-C,151,4,1,0,True,6,1029
LINE-A,S2,2026-05-19,WO-100007,1000-C,192,2,0,0,True,7,1221
LINE-A,S2,2026-05-20,WO-100008,1000-C,172,6,0,0,True,1,172
LINE-A,S2,2026-05-21,WO-100008,1000-C,191,6,0,0,True,2,363
LINE-A,S2,2026-05-22,WO-100008,1000-C,165,4,1,0,True,3,528
LINE-A,S2,2026-05-23,WO-100008,1000-C,154,4,0,0,True,4,682
LINE-A,S2,2026-05-24,WO-100008,1000-C,190,2,0,0,True,5,872
LINE-A,S2,2026-05-25,WO-100008,1000-C,196,3,0,0,True,6,1068
LINE-A,S2,2026-05-26,WO-100008,1000-C,172,3,0,0,True,7,1240
LINE-A,S2,2026-05-27,WO-100009,1000-C,167,2,0,0,True,1,167
LINE-A,S2,2026-05-28,WO-100009,1000-C,153,5,1,1,True,2,320
LINE-A,S2,2026-05-29,WO-100009,1000-C,156,2,0,0,True,3,476
LINE-A,S2,2026-05-30,WO-100009,1000-C,193,1,1,0,True,4,669
LINE-A,S3,2026-04-01,WO-100001,1000-C,188,1,0,0,True,1,188
LINE-A,S3,2026-04-02,WO-100001,1000-C,197,6,0,0,True,2,385
LINE-A,S3,2026-04-03,WO-100001,1000-C,180,5,0,0,True,3,565
LINE-A,S3,2026-04-04,WO-100001,1000-C,201,4,0,0,True,4,766
LINE-A,S3,2026-04-05,WO-100001,1000-C,161,4,2,0,True,5,927
LINE-A,S3,2026-04-06,WO-100001,1000-C,162,3,1,0,True,6,1089
LINE-A,S3,2026-04-07,WO-100001,1000-C,186,2,0,0,True,7,1275
LINE-A,S3,2026-04-08,WO-100002,1000-C,206,4,1,0,True,1,206
LINE-A,S3,2026-04-09,WO-100002,1000-C,179,4,0,0,True,2,385
LINE-A,S3,2026-04-10,WO-100002,1000-C,183,8,1,1,True,3,568
LINE-A,S3,2026-04-11,WO-100002,1000-C,178,6,2,0,True,4,746
LINE-A,S3,2026-04-12,WO-100002,1000-C,199,5,1,0,True,5,945
LINE-A,S3,2026-04-13,WO-100002,1000-C,205,6,0,0,True,6,1150
LINE-A,S3,2026-04-14,WO-100002,1000-C,158,2,0,0,True,7,1308
LINE-A,S3,2026-04-15,WO-100003,1000-B,153,3,0,0,True,1,153
LINE-A,S3,2026-04-16,WO-100003,1000-B,202,4,1,0,True,2,355
LINE-A,S3,2026-04-17,WO-100003,1000-B,184,2,0,0,True,3,539
LINE-A,S3,2026-04-18,WO-100003,1000-B,168,5,0,0,True,4,707
LINE-A,S3,2026-04-19,WO-100003,1000-B,161,5,2,0,True,5,868
LINE-A,S3,2026-04-20,WO-100003,1000-B,170,6,2,1,True,6,1038
LINE-A,S3,2026-04-21,WO-100003,1000-B,187,5,0,0,True,7,1225
LINE-A,S3,2026-04-22,WO-100004,1000-C,157,5,0,0,True,1,157
LINE-A,S3,2026-04-23,WO-100004,1000-C,153,9,0,0,True,2,310
LINE-A,S3,2026-04-24,WO-100004,1000-C,161,3,0,0,True,3,471
LINE-A,S3,2026-04-25,WO-100004,1000-C,209,8,2,0,True,4,680
LINE-A,S3,2026-04-26,WO-100004,1000-C,196,3,0,0,True,5,876
LINE-A,S3,2026-04-27,WO-100004,1000-C,154,8,0,0,True,6,1030
LINE-A,S3,2026-04-28,WO-100004,1000-C,158,5,0,0,True,7,1188
LINE-A,S3,2026-04-29,WO-100005,1000-C,179,4,1,0,True,1,179
LINE-A,S3,2026-04-30,WO-100005,1000-C,150,0,0,0,True,2,329
LINE-A,S3,2026-05-01,WO-100005,1000-C,150,2,1,0,True,3,479
LINE-A,S3,2026-05-02,WO-100005,1000-C,156,5,0,0,True,4,635
LINE-A,S3,2026-05-03,WO-100005,1000-C,186,2,1,1,True,5,821
LINE-A,S3,2026-05-04,WO-100005,1000-C,171,2,0,0,True,6,992
LINE-A,S3,2026-05-05,WO-100005,1000-C,181,6,1,0,True,7,1173
LINE-A,S3,2026-05-06,WO-100006,1000-C,156,4,0,0,True,1,156
LINE-A,S3,2026-05-07,WO-100006,1000-C,186,5,1,0,True,2,342
LINE-A,S3,2026-05-08,WO-100006,1000-C,151,3,1,1,True,3,493
LINE-A,S3,2026-05-09,WO-100006,1000-C,167,6,0,0,True,4,660
LINE-A,S3,2026-05-10,WO-100006,1000-C,173,7,0,0,True,5,833
LINE-A,S3,2026-05-11,WO-100006,1000-C,155,5,2,0,True,6,988
LINE-A,S3,2026-05-12,WO-100006,1000-C,166,3,0,0,True,7,1154
LINE-A,S3,2026-05-13,WO-100007,1000-C,180,13,0,0,True,1,180
LINE-A,S3,2026-05-14,WO-100007,1000-C,157,5,2,0,True,2,337
LINE-A,S3,2026-05-15,WO-100007,1000-C,197,7,0,0,True,3,534
LINE-A,S3,2026-05-16,WO-100007,1000-C,199,12,1,1,True,4,733
LINE-A,S3,2026-05-17,WO-100007,1000-C,185,5,0,0,True,5,918
LINE-A,S3,2026-05-18,WO-100007,1000-C,200,7,1,0,True,6,1118
LINE-A,S3,2026-05-19,WO-100007,1000-C,181,9,2,0,True,7,1299
LINE-A,S3,2026-05-20,WO-100008,1000-C,155,10,2,1,True,1,155
LINE-A,S3,2026-05-21,WO-100008,1000-C,200,8,1,0,True,2,355
LINE-A,S3,2026-05-22,WO-100008,1000-C,174,12,0,0,True,3,529
LINE-A,S3,2026-05-23,WO-100008,1000-C,190,10,1,0,True,4,719
LINE-A,S3,2026-05-24,WO-100008,1000-C,171,15,3,1,True,5,890
LINE-A,S3,2026-05-25,WO-100008,1000-C,173,11,2,1,True,6,1063
LINE-A,S3,2026-05-26,WO-100008,1000-C,158,20,5,3,True,7,1221
LINE-A,S3,2026-05-27,WO-100009,1000-C,153,21,4,3,True,1,153
LINE-A,S3,2026-05-28,WO-100009,1000-C,168,25,2,0,True,2,321
LINE-A,S3,2026-05-29,WO-100009,1000-C,152,19,3,1,True,3,473
LINE-A,S3,2026-05-30,WO-100009,1000-C,176,18,1,0,True,4,649
LINE-B,S4,2026-04-01,WO-100010,1000-C,208,8,3,0,True,1,208
LINE-B,S4,2026-04-02,WO-100010,1000-C,191,3,0,0,True,2,399
LINE-B,S4,2026-04-03,WO-100010,1000-C,173,3,0,0,True,3,572
LINE-B,S4,2026-04-04,WO-100010,1000-C,200,5,0,0,True,4,772
LINE-B,S4,2026-04-05,WO-100010,1000-C,203,6,1,0,True,5,975
LINE-B,S4,2026-04-06,WO-100010,1000-C,186,5,2,0,True,6,1161
LINE-B,S4,2026-04-07,WO-100010,1000-C,167,5,1,0,True,7,1328
LINE-B,S4,2026-04-08,WO-100011,1000-C,209,6,1,0,True,1,209
LINE-B,S4,2026-04-09,WO-100011,1000-C,202,7,1,0,True,2,411
LINE-B,S4,2026-04-10,WO-100011,1000-C,187,1,0,0,True,3,598
LINE-B,S4,2026-04-11,WO-100011,1000-C,174,5,0,0,True,4,772
LINE-B,S4,2026-04-12,WO-100011,1000-C,176,4,1,0,True,5,948
LINE-B,S4,2026-04-13,WO-100011,1000-C,186,3,1,0,True,6,1134
LINE-B,S4,2026-04-14,WO-100011,1000-C,186,9,1,0,True,7,1320
LINE-B,S4,2026-04-15,WO-100012,1000-C,161,3,0,0,True,1,161
LINE-B,S4,2026-04-16,WO-100012,1000-C,169,3,1,0,True,2,330
LINE-B,S4,2026-04-17,WO-100012,1000-C,174,3,1,0,True,3,504
LINE-B,S4,2026-04-18,WO-100012,1000-C,161,8,1,0,True,4,665
LINE-B,S4,2026-04-19,WO-100012,1000-C,192,10,0,0,True,5,857
LINE-B,S4,2026-04-20,WO-100012,1000-C,193,7,0,0,True,6,1050
LINE-B,S4,2026-04-21,WO-100012,1000-C,169,10,4,0,True,7,1219
LINE-B,S4,2026-04-22,WO-100013,1000-C,192,7,2,0,True,1,192
LINE-B,S4,2026-04-23,WO-100013,1000-C,203,4,0,0,True,2,395
LINE-B,S4,2026-04-24,WO-100013,1000-C,182,10,0,0,True,3,577
LINE-B,S4,2026-04-25,WO-100013,1000-C,154,4,1,0,True,4,731
LINE-B,S4,2026-04-26,WO-100013,1000-C,162,8,1,0,True,5,893
LINE-B,S4,2026-04-27,WO-100013,1000-C,157,6,1,0,True,6,1050
LINE-B,S4,2026-04-28,WO-100013,1000-C,190,5,0,0,True,7,1240
LINE-B,S4,2026-04-29,WO-100014,1000-C,156,5,1,1,True,1,156
LINE-B,S4,2026-04-30,WO-100014,1000-C,198,3,0,0,True,2,354
LINE-B,S4,2026-05-01,WO-100014,1000-C,175,5,1,0,True,3,529
LINE-B,S4,2026-05-02,WO-100014,1000-C,198,4,0,0,True,4,727
LINE-B,S4,2026-05-03,WO-100014,1000-C,203,8,1,0,True,5,930
LINE-B,S4,2026-05-04,WO-100014,1000-C,188,4,0,0,True,6,1118
LINE-B,S4,2026-05-05,WO-100014,1000-C,183,5,0,0,True,7,1301
LINE-B,S4,2026-05-06,WO-100015,1000-C,201,5,0,0,True,1,201
LINE-B,S4,2026-05-07,WO-100015,1000-C,193,5,1,0,True,2,394
LINE-B,S4,2026-05-08,WO-100015,1000-C,176,4,0,0,True,3,570
LINE-B,S4,2026-05-09,WO-100015,1000-C,205,3,1,0,True,4,775
LINE-B,S4,2026-05-10,WO-100015,1000-C,162,2,0,0,True,5,937
LINE-B,S4,2026-05-11,WO-100015,1000-C,170,2,1,0,True,6,1107
LINE-B,S4,2026-05-12,WO-100015,1000-C,178,5,0,0,True,7,1285
LINE-B,S4,2026-05-13,WO-100016,1000-C,199,4,0,0,True,1,199
LINE-B,S4,2026-05-14,WO-100016,1000-C,163,2,0,0,True,2,362
LINE-B,S4,2026-05-15,WO-100016,1000-C,203,6,1,0,True,3,565
LINE-B,S4,2026-05-16,WO-100016,1000-C,206,3,0,0,True,4,771
LINE-B,S4,2026-05-17,WO-100016,1000-C,184,4,0,0,True,5,955
LINE-B,S4,2026-05-18,WO-100016,1000-C,194,5,0,0,True,6,1149
LINE-B,S4,2026-05-19,WO-100016,1000-C,187,2,0,0,True,7,1336
LINE-B,S4,2026-05-20,WO-100017,1000-C,196,7,0,0,True,1,196
LINE-B,S4,2026-05-21,WO-100017,1000-C,185,2,0,0,True,2,381
LINE-B,S4,2026-05-22,WO-100017,1000-C,160,4,1,0,True,3,541
LINE-B,S4,2026-05-23,WO-100017,1000-C,155,3,0,0,True,4,696
LINE-B,S4,2026-05-24,WO-100017,1000-C,185,6,1,0,True,5,881
LINE-B,S4,2026-05-25,WO-100017,1000-C,169,3,2,1,True,6,1050
LINE-B,S4,2026-05-26,WO-100017,1000-C,162,4,0,0,True,7,1212
LINE-B,S4,2026-05-27,WO-100018,1000-C,200,4,0,0,True,1,200
LINE-B,S4,2026-05-28,WO-100018,1000-C,204,6,0,0,True,2,404
LINE-B,S4,2026-05-29,WO-100018,1000-C,209,9,1,0,True,3,613
LINE-B,S4,2026-05-30,WO-100018,1000-C,179,7,0,0,True,4,792
LINE-B,S5,2026-04-01,WO-100010,1000-C,181,7,1,0,True,1,181
LINE-B,S5,2026-04-02,WO-100010,1000-C,191,4,1,0,True,2,372
LINE-B,S5,2026-04-03,WO-100010,1000-C,196,5,0,0,True,3,568
LINE-B,S5,2026-04-04,WO-100010,1000-C,164,7,0,0,True,4,732
LINE-B,S5,2026-04-05,WO-100010,1000-C,187,4,1,0,True,5,919
LINE-B,S5,2026-04-06,WO-100010,1000-C,184,7,0,0,True,6,1103
LINE-B,S5,2026-04-07,WO-100010,1000-C,151,2,0,0,True,7,1254
LINE-B,S5,2026-04-08,WO-100011,1000-C,196,7,0,0,True,1,196
LINE-B,S5,2026-04-09,WO-100011,1000-C,204,4,0,0,True,2,400
LINE-B,S5,2026-04-10,WO-100011,1000-C,185,3,1,0,True,3,585
LINE-B,S5,2026-04-11,WO-100011,1000-C,169,2,1,0,True,4,754
LINE-B,S5,2026-04-12,WO-100011,1000-C,194,4,0,0,True,5,948
LINE-B,S5,2026-04-13,WO-100011,1000-C,154,4,1,0,True,6,1102
LINE-B,S5,2026-04-14,WO-100011,1000-C,175,4,1,0,True,7,1277
LINE-B,S5,2026-04-15,WO-100012,1000-C,175,5,0,0,True,1,175
LINE-B,S5,2026-04-16,WO-100012,1000-C,209,4,1,0,True,2,384
LINE-B,S5,2026-04-17,WO-100012,1000-C,169,7,1,0,True,3,553
LINE-B,S5,2026-04-18,WO-100012,1000-C,178,3,0,0,True,4,731
LINE-B,S5,2026-04-19,WO-100012,1000-C,202,7,1,0,True,5,933
LINE-B,S5,2026-04-20,WO-100012,1000-C,175,3,1,0,True,6,1108
LINE-B,S5,2026-04-21,WO-100012,1000-C,167,4,0,0,True,7,1275
LINE-B,S5,2026-04-22,WO-100013,1000-C,188,5,0,0,True,1,188
LINE-B,S5,2026-04-23,WO-100013,1000-C,187,8,1,0,True,2,375
LINE-B,S5,2026-04-24,WO-100013,1000-C,182,1,0,0,True,3,557
LINE-B,S5,2026-04-25,WO-100013,1000-C,150,2,0,0,True,4,707
LINE-B,S5,2026-04-26,WO-100013,1000-C,152,4,0,0,True,5,859
LINE-B,S5,2026-04-27,WO-100013,1000-C,158,6,0,0,True,6,1017
LINE-B,S5,2026-04-28,WO-100013,1000-C,196,3,0,0,True,7,1213
LINE-B,S5,2026-04-29,WO-100014,1000-C,174,4,1,0,True,1,174
LINE-B,S5,2026-04-30,WO-100014,1000-C,150,5,0,0,True,2,324
LINE-B,S5,2026-05-01,WO-100014,1000-C,171,2,0,0,True,3,495
LINE-B,S5,2026-05-02,WO-100014,1000-C,183,7,1,0,True,4,678
LINE-B,S5,2026-05-03,WO-100014,1000-C,202,2,0,0,True,5,880
LINE-B,S5,2026-05-04,WO-100014,1000-C,167,6,1,0,True,6,1047
LINE-B,S5,2026-05-05,WO-100014,1000-C,181,2,0,0,True,7,1228
LINE-B,S5,2026-05-06,WO-100015,1000-C,152,2,0,0,True,1,152
LINE-B,S5,2026-05-07,WO-100015,1000-C,169,1,1,0,True,2,321
LINE-B,S5,2026-05-08,WO-100015,1000-C,185,8,0,0,True,3,506
LINE-B,S5,2026-05-09,WO-100015,1000-C,167,3,0,0,True,4,673
LINE-B,S5,2026-05-10,WO-100015,1000-C,182,8,2,0,True,5,855
LINE-B,S5,2026-05-11,WO-100015,1000-C,151,13,1,1,True,6,1006
LINE-B,S5,2026-05-12,WO-100015,1000-C,157,11,2,0,True,7,1163
LINE-B,S5,2026-05-13,WO-100016,1000-C,194,13,2,0,True,1,194
LINE-B,S5,2026-05-14,WO-100016,1000-C,206,9,0,0,True,2,400
LINE-B,S5,2026-05-15,WO-100016,1000-C,174,13,0,0,True,3,574
LINE-B,S5,2026-05-16,WO-100016,1000-C,209,14,1,0,True,4,783
LINE-B,S5,2026-05-17,WO-100016,1000-C,162,11,1,0,True,5,945
LINE-B,S5,2026-05-18,WO-100016,1000-C,180,10,0,0,True,6,1125
LINE-B,S5,2026-05-19,WO-100016,1000-C,173,10,1,0,True,7,1298
LINE-B,S5,2026-05-20,WO-100017,1000-C,154,14,1,0,True,1,154
LINE-B,S5,2026-05-21,WO-100017,1000-C,174,10,1,0,True,2,328
LINE-B,S5,2026-05-22,WO-100017,1000-C,179,8,3,0,True,3,507
LINE-B,S5,2026-05-23,WO-100017,1000-C,172,14,3,1,True,4,679
LINE-B,S5,2026-05-24,WO-100017,1000-C,194,15,2,0,True,5,873
LINE-B,S5,2026-05-25,WO-100017,1000-C,204,10,1,1,True,6,1077
LINE-B,S5,2026-05-26,WO-100017,1000-C,183,8,0,0,True,7,1260
LINE-B,S5,2026-05-27,WO-100018,1000-C,173,12,0,0,True,1,173
LINE-B,S5,2026-05-28,WO-100018,1000-C,192,13,1,0,True,2,365
LINE-B,S5,2026-05-29,WO-100018,1000-C,175,11,1,0,True,3,540
LINE-B,S5,2026-05-30,WO-100018,1000-C,189,13,0,0,True,4,729
LINE-B,S6,2026-04-01,WO-100010,1000-C,168,3,0,0,True,1,168
LINE-B,S6,2026-04-02,WO-100010,1000-C,206,6,0,0,True,2,374
LINE-B,S6,2026-04-03,WO-100010,1000-C,161,2,1,0,True,3,535
LINE-B,S6,2026-04-04,WO-100010,1000-C,173,5,1,0,True,4,708
LINE-B,S6,2026-04-05,WO-100010,1000-C,209,7,1,0,True,5,917
LINE-B,S6,2026-04-06,WO-100010,1000-C,193,5,0,0,True,6,1110
LINE-B,S6,2026-04-07,WO-100010,1000-C,156,4,1,0,True,7,1266
LINE-B,S6,2026-04-08,WO-100011,1000-C,167,3,0,0,True,1,167
LINE-B,S6,2026-04-09,WO-100011,1000-C,150,5,1,0,True,2,317
LINE-B,S6,2026-04-10,WO-100011,1000-C,186,4,1,0,True,3,503
LINE-B,S6,2026-04-11,WO-100011,1000-C,183,5,1,0,True,4,686
LINE-B,S6,2026-04-12,WO-100011,1000-C,208,3,1,0,True,5,894
LINE-B,S6,2026-04-13,WO-100011,1000-C,179,3,0,0,True,6,1073
LINE-B,S6,2026-04-14,WO-100011,1000-C,194,5,0,0,True,7,1267
LINE-B,S6,2026-04-15,WO-100012,1000-C,177,4,0,0,True,1,177
LINE-B,S6,2026-04-16,WO-100012,1000-C,183,2,0,0,True,2,360
LINE-B,S6,2026-04-17,WO-100012,1000-C,166,4,0,0,True,3,526
LINE-B,S6,2026-04-18,WO-100012,1000-C,203,2,0,0,True,4,729
LINE-B,S6,2026-04-19,WO-100012,1000-C,159,1,0,0,True,5,888
LINE-B,S6,2026-04-20,WO-100012,1000-C,187,2,0,0,True,6,1075
LINE-B,S6,2026-04-21,WO-100012,1000-C,206,5,2,0,True,7,1281
LINE-B,S6,2026-04-22,WO-100013,1000-C,151,0,0,0,True,1,151
LINE-B,S6,2026-04-23,WO-100013,1000-C,183,4,0,0,True,2,334
LINE-B,S6,2026-04-24,WO-100013,1000-C,162,5,0,0,True,3,496
LINE-B,S6,2026-04-25,WO-100013,1000-C,192,5,0,0,True,4,688
LINE-B,S6,2026-04-26,WO-100013,1000-C,168,2,0,0,True,5,856
LINE-B,S6,2026-04-27,WO-100013,1000-C,164,5,0,0,True,6,1020
LINE-B,S6,2026-04-28,WO-100013,1000-C,155,2,0,0,True,7,1175
LINE-B,S6,2026-04-29,WO-100014,1000-C,180,3,0,0,True,1,180
LINE-B,S6,2026-04-30,WO-100014,1000-C,195,5,3,0,True,2,375
LINE-B,S6,2026-05-01,WO-100014,1000-C,193,5,0,0,True,3,568
LINE-B,S6,2026-05-02,WO-100014,1000-C,188,4,0,0,True,4,756
LINE-B,S6,2026-05-03,WO-100014,1000-C,157,1,0,0,True,5,913
LINE-B,S6,2026-05-04,WO-100014,1000-C,169,2,0,0,True,6,1082
LINE-B,S6,2026-05-05,WO-100014,1000-C,190,6,0,0,True,7,1272
LINE-B,S6,2026-05-06,WO-100015,1000-C,157,1,0,0,True,1,157
